,names,scores,logfoldchanges,pvals,pvals_adj,log_pval
664,Fbln2,0.1078665,0.046629313,0.914101588780677,0.9949125519138148,0.03900553621893586
665,Pirt,0.10749666,0.35275596,0.9143949762495087,0.9949125519138148,0.03886616865073428
666,Vsx2,0.10727686,0.46682835,0.9145693414360326,0.9949125519138148,0.038783361306883396
667,Cubn,0.10707815,0.48920375,0.9147269813981886,0.9949125519138148,0.03870851048582539
668,9630002D21Rik,0.106889986,0.5713265,0.9148762598830043,0.9949125519138148,0.038637641763139094
669,Sntg2,0.099266805,0.10473002,0.9209264357441725,0.9949125519138148,0.035775060168377594
670,C7,0.097287,0.2512183,0.9224984809763195,0.9949125519138148,0.03503434029534698
671,Trdn,0.09693743,0.3088684,0.9227760838848886,0.9949125519138148,0.03490366986336119
672,Mab21l1,0.09680036,0.37593877,0.9228849377107254,0.9949125519138148,0.034852442020982075
673,A330076C08Rik,0.09656515,0.34532395,0.9230717316639871,0.9949125519138148,0.03476454875157091
674,Vegfc,0.09230059,0.11978012,0.9264592249498654,0.9949125519138148,0.03317368996511066
675,Lamb3,0.091600634,0.2113118,0.9270153461329403,0.9949125519138148,0.03291307633480278
676,Nr5a1,0.08549576,0.54870147,0.931867261924642,0.9949125519138148,0.030645945499248355
677,Slc5a5,0.08533112,0.06784997,0.9319981519228329,0.9949125519138148,0.030584948816095428
678,Catsperd,0.083472975,0.1743064,0.9334754656952599,0.9949125519138148,0.029897092019335245
679,Klhl14,0.07844925,0.20442471,0.9374706978870876,0.9949125519138148,0.028042297941390678
680,Tacr3,0.07632183,0.17900917,0.9391630566348057,0.9949125519138148,0.027258999375001827
681,Mrpl16,0.07233708,0.059638202,0.9423336560923411,0.9949125519138148,0.0257952974797728
682,Kcnj8,0.0706233,-0.14255334,0.9436975624714737,0.9949125519138148,0.025167166713201593
683,Colec12,0.06854374,-0.013848133,0.9453528031752906,0.9949125519138148,0.0244060836834026
684,Diaph3,0.06656799,0.15954196,0.9469256296492867,0.9949125519138148,0.023684128600998843
685,Dmrt2,0.06571313,0.25760204,0.9476062192103519,0.9949125519138148,0.02337209763281591
686,Snx31,0.064330265,0.2757371,0.9487072536448447,0.9949125519138148,0.022867778869210598
687,Bhlhe23,0.054007057,0.17981802,0.956929540799646,0.9949125519138148,0.019120038365720286
688,Fbxw13,0.0538343,0.13939185,0.9570671802319936,0.9949125519138148,0.019057576350600774
689,Cd79a,0.0534312,0.23979531,0.9573883438784924,0.9949125519138148,0.01891186432019401
690,Glt8d2,0.049541347,0.12446065,0.9604878884933782,0.9949125519138148,0.017508107110102877
691,Col24a1,0.04405775,0.113182425,0.9648583712396298,0.9949125519138148,0.015536430804622314
692,Chrna6,0.04349325,0.16122678,0.965308345558539,0.9949125519138148,0.015333939107361201
693,Mbnl3,0.04317288,0.15537581,0.9655637238381851,0.9949125519138148,0.01521905901763093
694,Tmem26,0.043129083,0.21051776,0.9655986365868947,0.9949125519138148,0.015203356128609246
695,Serpina3g,0.04288982,0.056914255,0.965789364802489,0.9949125519138148,0.015117581326461231
696,Isl1,0.039012127,0.12830035,0.9688807201706929,0.9949125519138148,0.013729686066129997
697,Foxb1,0.03527556,0.16290265,0.9718600115635092,0.9949125519138148,0.012396287114758889
698,Glra3,0.03446044,0.09622513,0.972509986573667,0.9949125519138148,0.012105930267994473
699,Prrxl1,0.032989174,0.09579486,0.9736832212238128,0.9949125519138148,0.011582313810782126
700,Atp6v1c2,0.032434408,0.11980078,0.9741256245135727,0.9949125519138148,0.01138503232575046
701,Dkk2,0.032290038,0.086609654,0.9742407541659005,0.9949125519138148,0.011333707099330254
702,Skor2,0.032157835,0.17742412,0.9743461823520576,0.9949125519138148,0.01128671214244976
703,Arhgap22,0.031852875,-0.09649736,0.974589380365174,0.9949125519138148,0.011178325228408111
704,Drd5,0.026940266,0.108851716,0.9785073773747166,0.9949125519138148,0.009435895666631685
705,5830418P13Rik,0.02611947,0.14395161,0.9791620471292756,0.9949125519138148,0.009145428370249797
